"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","pc1"
"57",916792,"E02002349","E02002361",44,0,0,0,4,2,0,21,5,1,11,0,1914.65337687773,0.204558050204275,9.0005542089881,8.0005542089881
"58",916794,"E02002349","E02002363",49,0,0,1,2,1,0,39,1,5,0,0,2939.22148515556,0.166657061588618,8.16619601784227,3.16619601784227
"59",916795,"E02002349","E02002364",26,0,0,0,4,1,0,17,1,0,3,0,2760.81299457766,0.172711034257043,4.49048689068311,4.49048689068311
"60",916796,"E02002349","E02002366",23,0,0,0,7,0,0,13,0,1,2,0,1831.59146033276,0.20798462996868,4.78364648927965,3.78364648927965
"61",916797,"E02002349","E02002367",8,0,0,0,0,0,0,8,0,0,0,0,4222.2136618113,0.128939041000901,1.03151232800721,1.03151232800721
"62",916799,"E02002349","E02002369",6,0,0,0,0,0,1,4,0,0,1,0,2733.41137021254,0.173660145176555,1.04196087105933,1.04196087105933
"63",916801,"E02002349","E02002371",23,0,0,0,3,0,0,19,1,0,0,0,3470.33583833569,0.14986206539268,3.44682750403164,3.44682750403164
"64",916805,"E02002349","E02002376",6,0,0,0,0,0,0,5,1,0,0,0,3064.20686075214,0.162542759494377,0.975256556966265,0.975256556966265
"65",916806,"E02002349","E02002377",13,0,0,0,1,0,0,9,2,1,0,0,3381.59452006495,0.152545600442198,1.98309280574858,0.983092805748578
"66",916807,"E02002349","E02002379",17,0,0,0,0,0,0,15,1,1,0,0,3859.59385271057,0.138637651278997,2.35684007174295,1.35684007174295
"67",916810,"E02002349","E02002382",7,0,0,0,2,0,0,5,0,0,0,0,3677.65821520215,0.143775180296257,1.0064262620738,1.0064262620738
"68",916812,"E02002349","E02002384",32,0,0,0,6,0,1,22,1,1,1,0,4882.70698497359,0.112983419477805,3.61546942328975,2.61546942328975
"69",916817,"E02002349","E02002389",2,0,0,0,0,0,0,2,0,0,0,0,3895.2413494663,0.137652749334902,0.275305498669804,0.275305498669804
"70",916818,"E02002349","E02002390",16,0,0,0,2,0,0,11,2,0,1,0,4517.0602398226,0.121555436558313,1.94488698493301,1.94488698493301
"71",916821,"E02002349","E02002393",124,0,0,0,16,1,2,88,4,10,3,0,4632.76214137664,0.118774893020343,14.7280867345225,4.72808673452249
"72",916822,"E02002349","E02002394",18,0,0,0,0,0,0,17,0,1,0,0,4521.97421765247,0.121436031099433,2.18584855978979,1.18584855978979
"73",916831,"E02002349","E02002404",16,0,0,1,3,1,0,9,2,0,0,0,5817.41756016081,0.0937188143543219,1.49950102966915,1.49950102966915
"74",916960,"E02002349","E02006861",19,0,0,0,0,0,0,16,1,1,1,0,5252.2247556599,0.104934623564709,1.99375784772947,0.993757847729472
"75",917761,"E02002352","E02002344",28,0,0,0,2,0,0,17,0,3,6,0,1441.78664273211,0.224848118663876,6.29574732258852,3.29574732258852
"76",917763,"E02002352","E02002347",57,0,0,0,3,1,1,37,3,3,9,0,1553.55407529706,0.219877738898586,12.5330311172194,9.53303111721941
"77",917765,"E02002352","E02002349",39,0,0,0,5,0,0,16,8,1,9,0,2230.49427670435,0.192036146881379,7.48940972837378,6.48940972837378
"78",917768,"E02002352","E02002352",156,0,0,2,9,2,0,59,4,3,77,0,0,0.3,46.8,43.8
"79",917769,"E02002352","E02002353",32,0,0,0,3,0,0,10,3,0,16,0,880.361100796051,0.251567226119928,8.05015123583769,8.05015123583769
"80",917770,"E02002352","E02002354",39,0,0,0,1,0,0,24,1,0,13,0,1157.11868379105,0.23802096020882,9.28281744814396,9.28281744814396
"81",917773,"E02002352","E02002358",19,0,0,0,0,2,0,14,1,0,2,0,4760.73292280907,0.115773522457338,2.19969692668942,2.19969692668942
"82",917776,"E02002352","E02002361",28,0,0,0,3,0,0,18,0,2,5,0,1787.30251162213,0.209835097517749,5.87538273049696,3.87538273049696
"83",917778,"E02002352","E02002363",83,0,0,0,9,0,1,37,8,2,25,1,1497.95044232535,0.222336585858921,18.4539366262905,16.4539366262905
"84",917779,"E02002352","E02002364",16,0,0,0,0,0,0,14,1,0,1,0,4611.51699913709,0.11928064463527,1.90849031416432,1.90849031416432
"85",917780,"E02002352","E02002366",14,0,0,0,4,0,0,8,0,0,2,0,2950.99318478311,0.166265155735475,2.32771218029665,2.32771218029665
"86",917781,"E02002352","E02002367",7,0,0,0,0,0,1,6,0,0,0,0,2549.55670341347,0.180164646210146,1.26115252347102,1.26115252347102
"87",917783,"E02002352","E02002369",9,0,0,0,0,0,0,9,0,0,0,0,4117.015303109,0.131680615882711,1.1851255429444,1.1851255429444
"88",917785,"E02002352","E02002371",43,0,0,0,3,1,1,33,3,1,1,0,2556.00542250499,0.17993242975348,7.73709447939962,6.73709447939962
"89",917788,"E02002352","E02002376",5,0,0,0,0,0,0,5,0,0,0,0,3612.95619398986,0.145647779211679,0.728238896058395,0.728238896058395
"90",917789,"E02002352","E02002377",34,0,0,0,2,0,0,27,3,0,2,0,3042.37841358782,0.163253921929537,5.55063334560426,5.55063334560426
"91",917790,"E02002352","E02002379",12,0,0,0,1,0,0,10,0,1,0,0,5349.68117220466,0.102909117073783,1.2349094048854,0.234909404885399
"92",917793,"E02002352","E02002382",10,0,0,0,1,0,0,9,0,0,0,0,3643.37624633321,0.144764346729485,1.44764346729485,1.44764346729485
"93",917795,"E02002352","E02002384",60,0,0,0,9,0,0,38,8,4,1,0,3713.26481598089,0.142754948218147,8.56529689308879,4.56529689308879
"94",917800,"E02002352","E02002389",2,0,0,0,0,0,0,2,0,0,0,0,4590.57720356458,0.119781234591635,0.23956246918327,0.23956246918327
"95",917801,"E02002352","E02002390",26,0,0,0,1,0,0,21,1,1,2,0,5725.91319881039,0.0954497408271018,2.48169326150465,1.48169326150465
"96",917804,"E02002352","E02002393",131,0,0,1,7,1,0,101,9,8,4,0,4174.86369281899,0.130165892890714,17.0517319686835,9.05173196868351
"97",917805,"E02002352","E02002394",24,0,0,0,4,1,0,17,1,1,0,0,4537.8608980109,0.121050800345294,2.90521920828705,1.90521920828705
"98",917815,"E02002352","E02002404",17,0,0,0,1,0,0,13,1,2,0,0,5572.87059302886,0.0984164884973364,1.67308030445472,-0.326919695545282
"99",917982,"E02002352","E02006861",37,0,0,0,2,0,1,32,1,0,1,0,3467.35398720344,0.149951465321633,5.54820421690042,5.54820421690042
"100",918118,"E02002353","E02002344",6,0,0,0,2,0,0,0,1,1,2,0,1595.92998454051,0.218022109582166,1.308132657493,0.308132657492998
"101",918121,"E02002353","E02002347",17,0,0,0,0,1,0,10,0,4,2,0,2386.2890706876,0.186144761849922,3.16446095144868,-0.83553904855132
"102",918123,"E02002353","E02002349",41,0,0,0,4,1,0,15,4,0,17,0,1385.00047329851,0.22741632760599,9.32406943184558,9.32406943184558
"103",918126,"E02002353","E02002352",81,0,0,0,3,3,0,37,8,2,28,0,880.361100796051,0.251567226119928,20.3769453157142,18.3769453157142
"104",918127,"E02002353","E02002353",63,0,0,0,0,0,0,26,2,1,34,0,0,0.3,18.9,17.9
"105",918128,"E02002353","E02002354",15,0,0,0,0,0,0,12,1,1,1,0,1992.1155503951,0.201413370240336,3.02120055360504,2.02120055360504
"106",918131,"E02002353","E02002358",17,0,0,0,0,0,0,14,0,2,1,0,3880.58024450528,0.138056969958614,2.34696848929645,0.346968489296446
"107",918134,"E02002353","E02002361",74,0,0,0,4,1,0,32,7,2,28,0,1290.84830638317,0.231739249119737,17.1487044348605,15.1487044348605
"108",918136,"E02002353","E02002363",52,0,0,0,6,2,0,36,4,0,4,0,1732.41574490392,0.212151220720358,11.0318634774586,11.0318634774586
"109",918137,"E02002353","E02002364",16,0,0,0,1,0,0,15,0,0,0,0,3756.91807796205,0.141514029285675,2.2642244685708,2.2642244685708
"110",918138,"E02002353","E02002366",27,0,0,0,1,1,0,16,5,1,3,0,2190.91139727907,0.193562449183456,5.22618612795331,4.22618612795331
"111",918139,"E02002353","E02002367",7,0,0,0,0,0,0,6,1,0,0,0,2984.2492835556,0.165162959186205,1.15614071430343,1.15614071430343
"112",918141,"E02002353","E02002369",7,0,0,0,1,0,0,4,1,0,1,0,3343.5123799495,0.153711888866098,1.07598322206269,1.07598322206269
"113",918142,"E02002353","E02002371",45,0,0,0,6,0,0,37,1,0,1,0,2555.29886098373,0.179957858216373,8.09810361973678,8.09810361973678
"114",918145,"E02002353","E02002376",7,0,0,0,0,0,0,6,1,0,0,0,3053.71262596359,0.162884270134557,1.1401898909419,1.1401898909419
"115",918146,"E02002353","E02002377",26,0,0,0,3,0,0,23,0,0,0,0,2793.95481146054,0.171570028440948,4.46082073946465,4.46082073946465
"116",918147,"E02002353","E02002379",20,0,0,0,0,1,0,14,4,1,0,0,4572.8970421067,0.120205534632295,2.4041106926459,1.4041106926459
"117",918150,"E02002353","E02002382",4,0,0,0,0,0,0,3,1,0,0,0,3299.31500953353,0.155076644096856,0.620306576387422,0.620306576387422
"118",918152,"E02002353","E02002384",54,0,0,0,5,0,0,42,7,0,0,0,3893.01793273781,0.137713974831992,7.43655464092754,7.43655464092754
"119",918157,"E02002353","E02002389",3,0,0,0,0,0,0,3,0,0,0,0,4019.95453188535,0.134261792351886,0.402785377055658,0.402785377055658
"120",918158,"E02002353","E02002390",14,0,0,0,0,0,0,12,2,0,0,0,5025.59028873473,0.109800426884984,1.53720597638977,1.53720597638977
"121",918161,"E02002353","E02002393",108,0,0,0,18,1,0,75,8,6,0,0,4029.10517197907,0.134016300792866,14.4737604856296,8.47376048562958
"122",918162,"E02002353","E02002394",17,0,0,0,0,0,1,12,1,2,0,1,4207.44991827314,0.129320328233243,2.19844557996513,0.198445579965127
"123",918172,"E02002353","E02002404",15,0,0,0,2,0,2,9,0,2,0,0,5371.01341598001,0.102470995874758,1.53706493812138,-0.462935061878623
"124",918313,"E02002353","E02006861",29,0,0,0,1,0,0,24,0,4,0,0,3987.52838282052,0.135135340448816,3.91892487301566,-0.0810751269843353
"125",918443,"E02002354","E02002344",13,0,0,0,0,0,0,9,1,0,3,0,2270.67738465662,0.190499010004195,2.47648713005453,2.47648713005453
"126",918446,"E02002354","E02002347",73,0,0,0,7,1,0,39,5,1,20,0,1162.44942337932,0.23776732988548,17.35701508164,16.35701508164
"127",918448,"E02002354","E02002349",20,0,0,0,1,1,1,16,0,0,1,0,3371.46308349337,0.152855015032792,3.05710030065584,3.05710030065584
"128",918451,"E02002354","E02002352",77,0,0,0,3,1,0,38,4,0,31,0,1157.11868379105,0.23802096020882,18.3276139360791,18.3276139360791
"129",918452,"E02002354","E02002353",22,0,0,0,2,0,0,16,0,0,4,0,1992.1155503951,0.201413370240336,4.43109414528739,4.43109414528739
"130",918453,"E02002354","E02002354",112,0,1,0,2,1,0,49,6,1,52,0,0,0.3,33.6,32.6
"131",918456,"E02002354","E02002358",7,0,0,0,2,0,0,4,1,0,0,0,5841.2421594632,0.0932733139442839,0.652913197609987,0.652913197609987
"132",918459,"E02002354","E02002361",19,0,0,0,2,0,0,11,0,2,4,0,2474.29217175109,0.182897162311899,3.47504608392609,1.47504608392609
"133",918461,"E02002354","E02002363",79,0,0,1,5,2,0,40,4,2,25,0,1472.65745027766,0.223464146893289,17.6536676045698,15.6536676045698
"134",918462,"E02002354","E02002364",19,0,0,0,4,0,0,15,0,0,0,0,5579.55522920265,0.0982850007278899,1.86741501382991,1.86741501382991
"135",918463,"E02002354","E02002366",25,0,0,0,3,2,0,18,0,0,2,0,3798.16696053404,0.140351372593432,3.50878431483579,3.50878431483579
"136",918464,"E02002354","E02002367",14,0,0,0,1,0,0,12,0,0,1,0,1900.65935316032,0.205131370176584,2.87183918247217,2.87183918247217
"137",918466,"E02002354","E02002369",5,0,0,0,0,0,0,3,2,0,0,0,4942.23043112771,0.111646361401924,0.558231807009618,0.558231807009618
"138",918468,"E02002354","E02002371",57,0,0,1,4,0,0,45,3,0,4,0,2528.1858349523,0.180936349222781,10.3133719056985,10.3133719056985
"139",918471,"E02002354","E02002376",11,0,0,0,0,0,0,10,1,0,0,0,4163.58407905169,0.130459868558735,1.43505855414608,1.43505855414608
"140",918472,"E02002354","E02002377",18,0,0,0,3,0,0,14,0,0,0,1,3256.59300724112,0.156407358026212,2.81533244447182,2.81533244447182
"141",918473,"E02002354","E02002379",7,0,0,0,0,0,0,5,1,0,1,0,6154.58895621416,0.087607331154013,0.613251318078091,0.613251318078091
"142",918475,"E02002354","E02002382",13,0,0,0,2,0,0,10,1,0,0,0,3919.39865015139,0.13698928959398,1.78086076472174,1.78086076472174
"143",918477,"E02002354","E02002384",84,0,0,0,7,0,1,65,6,2,3,0,3297.8276836596,0.155122780859597,13.0303135922062,11.0303135922062
"144",918482,"E02002354","E02002389",4,0,0,0,1,0,0,3,0,0,0,0,5108.18346263939,0.108001571951883,0.432006287807532,0.432006287807532
"145",918483,"E02002354","E02002390",10,0,0,0,1,0,0,9,0,0,0,0,6399.24928087681,0.0834237147512862,0.834237147512862,0.834237147512862
